SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O										
37.51500	1.53200	9.64100	0.02000	15.49600	0.99700	0.13600	33.48900	0.01900										
38.32600	0.37500	12.37000	0.00000	13.34600	1.08300	0.12300	33.88700	0.00500										
38.59800	0.25700	13.16600	0.02000	12.10600	1.10600	0.14100	34.04400	0.00000										
38.59700	0.45600	13.65300	0.01600	11.44300	1.13200	0.14900	34.15700	0.00000										
38.19100	0.67000	11.44900	0.02500	13.97900	0.97300	0.12300	34.02500	0.00600										
38.30800	0.40400	12.00000	0.03900	13.53400	1.04700	0.11300	33.94600	0.00000										
37.73500	1.38500	10.61900	0.00000	14.20500	1.03300	0.17600	33.85500	0.00800										
37.73000	0.91400	9.89500	0.01400	15.85600	0.97700	0.09600	33.34200	0.00000										
37.54600	1.00000	9.69700	0.02200	15.83300	1.02900	0.10400	33.21400	0.01900										
37.69200	0.93300	10.63900	0.00000	14.93600	1.00800	0.11800	33.48200	0.01000										
37.94400	0.70300	11.33200	0.00000	14.15700	1.04600	0.11400	33.46800	0.00600										
38.07000	0.40100	11.43500	0.00700	14.34700	1.05000	0.09600	33.64700	0.01500										
37.83700	0.94100	10.87400	0.00000	14.54600	1.08800	0.13300	33.51600	0.00000										
37.57500	1.01000	10.00100	0.00800	15.81500	1.10800	0.11700	33.14400	0.00400										
38.52200	0.20500	12.81100	0.03700	12.93100	1.18700	0.10800	33.74500	0.00000										
38.73800	0.22000	13.84900	0.00000	11.71300	1.15700	0.15000	33.82800	0.01900										
38.45400	0.71100	13.48600	0.02800	11.51400	1.22200	0.18500	33.90600	0.00000										
37.85800	0.89600	10.52200	0.02400	14.86300	0.98100	0.13000	33.60300	0.01400										
37.40500	1.33800	8.97900	0.02700	16.39000	0.93700	0.11500	33.38400	0.00400										
37.66500	1.06200	9.14900	0.02100	16.55800	0.90100	0.11400	33.45400	0.00000										
37.59700	1.09700	9.24700	0.03000	16.59900	0.96000	0.11200	33.28000	0.00100										
37.99600	0.46200	10.69700	0.01300	15.34200	1.02100	0.09300	33.52300	0.01100										
37.73500	1.12100	10.14600	0.03000	15.35200	1.04500	0.12900	33.45900	0.00000										
38.03400	0.57500	10.80200	0.01400	15.15700	1.03300	0.10400	33.77300	0.00000										
38.21200	0.94500	11.20200	0.00000	14.34600	1.03400	0.14000	33.88100	0.00000										
37.93900	0.87600	10.86300	0.03600	14.66700	1.07200	0.13100	33.64400	0.00200										
